struct,time,k,N,dim
dumbKNN,321,2,100,1
dumbKNN,617,4,100,1
dumbKNN,975,8,100,1
dumbKNN,1397,16,100,1
dumbKNN,1859,32,100,1
dumbKNN,2263,64,100,1
dumbKNN,2027,2,1000,1
dumbKNN,4252,4,1000,1
dumbKNN,6533,8,1000,1
dumbKNN,9036,16,1000,1
dumbKNN,11786,32,1000,1
dumbKNN,15219,64,1000,1
dumbKNN,16799,2,10000,1
dumbKNN,34170,4,10000,1
dumbKNN,52008,8,10000,1
dumbKNN,71434,16,10000,1
dumbKNN,91511,32,10000,1
dumbKNN,112453,64,10000,1
dumbKNN,162970,2,100000,1
dumbKNN,326329,4,100000,1
dumbKNN,488470,8,100000,1
dumbKNN,662107,16,100000,1
dumbKNN,838695,32,100000,1
dumbKNN,1020660,64,100000,1
dumbKNN,459,2,100,2
dumbKNN,841,4,100,2
dumbKNN,1266,8,100,2
dumbKNN,1764,16,100,2
dumbKNN,2338,32,100,2
dumbKNN,2788,64,100,2
dumbKNN,3326,2,1000,2
dumbKNN,6346,4,1000,2
dumbKNN,9403,8,1000,2
dumbKNN,13031,16,1000,2
dumbKNN,16979,32,1000,2
dumbKNN,21285,64,1000,2
dumbKNN,25576,2,10000,2
dumbKNN,51882,4,10000,2
dumbKNN,78011,8,10000,2
dumbKNN,106957,16,10000,2
dumbKNN,135802,32,10000,2
dumbKNN,166533,64,10000,2
dumbKNN,226045,2,100000,2
dumbKNN,452941,4,100000,2
dumbKNN,682805,8,100000,2
dumbKNN,919794,16,100000,2
dumbKNN,1162643,32,100000,2
dumbKNN,1410006,64,100000,2
dumbKNN,500,2,100,3
dumbKNN,1017,4,100,3
dumbKNN,1523,8,100,3
dumbKNN,2054,16,100,3
dumbKNN,2976,32,100,3
dumbKNN,3462,64,100,3
dumbKNN,3493,2,1000,3
dumbKNN,6997,4,1000,3
dumbKNN,10962,8,1000,3
dumbKNN,15412,16,1000,3
dumbKNN,19946,32,1000,3
dumbKNN,24942,64,1000,3
dumbKNN,28886,2,10000,3
