struct,time,k,N,dim
dumbKNN,349,2,100,1
dumbKNN,630,4,100,1
dumbKNN,1068,8,100,1
dumbKNN,1538,16,100,1
dumbKNN,2049,32,100,1
dumbKNN,2592,64,100,1
dumbKNN,1991,2,1000,1
dumbKNN,3960,4,1000,1
dumbKNN,6073,8,1000,1
dumbKNN,8681,16,1000,1
dumbKNN,11680,32,1000,1
dumbKNN,15314,64,1000,1
dumbKNN,17519,2,10000,1
dumbKNN,34654,4,10000,1
dumbKNN,51937,8,10000,1
dumbKNN,71178,16,10000,1
dumbKNN,90654,32,10000,1
dumbKNN,110771,64,10000,1
dumbKNN,163097,2,100000,1
dumbKNN,326899,4,100000,1
dumbKNN,491020,8,100000,1
dumbKNN,668706,16,100000,1
dumbKNN,842833,32,100000,1
dumbKNN,1021958,64,100000,1
dumbKNN,415,2,100,2
dumbKNN,878,4,100,2
dumbKNN,1331,8,100,2
dumbKNN,1876,16,100,2
dumbKNN,2516,32,100,2
dumbKNN,3184,64,100,2
dumbKNN,3131,2,1000,2
dumbKNN,5774,4,1000,2
dumbKNN,8539,8,1000,2
dumbKNN,11749,16,1000,2
dumbKNN,15247,32,1000,2
dumbKNN,19229,64,1000,2
dumbKNN,23463,2,10000,2
dumbKNN,47532,4,10000,2
dumbKNN,71799,8,10000,2
dumbKNN,97198,16,10000,2
dumbKNN,124255,32,10000,2
dumbKNN,151989,64,10000,2
dumbKNN,230065,2,100000,2
dumbKNN,461224,4,100000,2
dumbKNN,691660,8,100000,2
dumbKNN,930404,16,100000,2
dumbKNN,1172796,32,100000,2
dumbKNN,1415697,64,100000,2
dumbKNN,440,2,100,3
dumbKNN,893,4,100,3
dumbKNN,1425,8,100,3
dumbKNN,2101,16,100,3
dumbKNN,3171,32,100,3
dumbKNN,3975,64,100,3
dumbKNN,3046,2,1000,3
dumbKNN,6136,4,1000,3
dumbKNN,9550,8,1000,3
dumbKNN,13523,16,1000,3
dumbKNN,18064,32,1000,3
dumbKNN,22759,64,1000,3
dumbKNN,28303,2,10000,3
dumbKNN,56095,4,10000,3
dumbKNN,83638,8,10000,3
dumbKNN,115408,16,10000,3
dumbKNN,146095,32,10000,3
dumbKNN,178483,64,10000,3
dumbKNN,268025,2,100000,3
dumbKNN,536112,4,100000,3
dumbKNN,804960,8,100000,3
dumbKNN,1083766,16,100000,3
dumbKNN,1364663,32,100000,3
dumbKNN,1648096,64,100000,3
dumbKNN,524,2,100,4
dumbKNN,1129,4,100,4
dumbKNN,1764,8,100,4
dumbKNN,2507,16,100,4
dumbKNN,3355,32,100,4
dumbKNN,4264,64,100,4
dumbKNN,3658,2,1000,4
dumbKNN,7451,4,1000,4
dumbKNN,11342,8,1000,4
dumbKNN,15850,16,1000,4
dumbKNN,20787,32,1000,4
dumbKNN,26176,64,1000,4
dumbKNN,33606,2,10000,4
dumbKNN,67792,4,10000,4
dumbKNN,103690,8,10000,4
dumbKNN,142467,16,10000,4
dumbKNN,179693,32,10000,4
dumbKNN,218087,64,10000,4
dumbKNN,326674,2,100000,4
dumbKNN,660214,4,100000,4
dumbKNN,988962,8,100000,4
dumbKNN,1332667,16,100000,4
dumbKNN,1675151,32,100000,4
dumbKNN,2021888,64,100000,4
dumbKNN,614,2,100,5
dumbKNN,1187,4,100,5
dumbKNN,1892,8,100,5
dumbKNN,2718,16,100,5
dumbKNN,3674,32,100,5
dumbKNN,4813,64,100,5
dumbKNN,4145,2,1000,5
dumbKNN,8313,4,1000,5
dumbKNN,12665,8,1000,5
dumbKNN,17608,16,1000,5
dumbKNN,22893,32,1000,5
dumbKNN,28937,64,1000,5
dumbKNN,36662,2,10000,5
dumbKNN,73841,4,10000,5
dumbKNN,111394,8,10000,5
dumbKNN,150751,16,10000,5
dumbKNN,190854,32,10000,5
dumbKNN,232474,64,10000,5
dumbKNN,359626,2,100000,5
dumbKNN,723263,4,100000,5
dumbKNN,1086109,8,100000,5
dumbKNN,1457831,16,100000,5
dumbKNN,1832739,32,100000,5
dumbKNN,2213069,64,100000,5
dumbKNN,660,2,100,6
dumbKNN,1334,4,100,6
dumbKNN,2038,8,100,6
dumbKNN,2865,16,100,6
dumbKNN,4001,32,100,6
dumbKNN,5163,64,100,6
dumbKNN,4499,2,1000,6
dumbKNN,9157,4,1000,6
dumbKNN,13792,8,1000,6
dumbKNN,18910,16,1000,6
dumbKNN,24328,32,1000,6
dumbKNN,30509,64,1000,6
dumbKNN,39434,2,10000,6
dumbKNN,79276,4,10000,6
dumbKNN,119267,8,10000,6
dumbKNN,160841,16,10000,6
dumbKNN,203901,32,10000,6
dumbKNN,247818,64,10000,6
dumbKNN,386734,2,100000,6
dumbKNN,771763,4,100000,6
dumbKNN,1157245,8,100000,6
dumbKNN,1562008,16,100000,6
dumbKNN,1970815,32,100000,6
dumbKNN,2381763,64,100000,6
dumbKNN,762,2,100,7
dumbKNN,1454,4,100,7
dumbKNN,2298,8,100,7
dumbKNN,3332,16,100,7
dumbKNN,4602,32,100,7
dumbKNN,5780,64,100,7
dumbKNN,5270,2,1000,7
dumbKNN,10911,4,1000,7
dumbKNN,16249,8,1000,7
dumbKNN,22272,16,1000,7
dumbKNN,31210,32,1000,7
dumbKNN,38571,64,1000,7
dumbKNN,52283,2,10000,7
dumbKNN,101154,4,10000,7
dumbKNN,148851,8,10000,7
dumbKNN,199169,16,10000,7
dumbKNN,250242,32,10000,7
dumbKNN,302987,64,10000,7
dumbKNN,471301,2,100000,7
dumbKNN,943510,4,100000,7
dumbKNN,1417400,8,100000,7
dumbKNN,1894848,16,100000,7
dumbKNN,2373224,32,100000,7
dumbKNN,2855749,64,100000,7
bucketKNN,3924,2,100,1
bucketKNN,8046,4,100,1
bucketKNN,11980,8,100,1
bucketKNN,16061,16,100,1
bucketKNN,20201,32,100,1
bucketKNN,24234,64,100,1
bucketKNN,6475,2,1000,1
bucketKNN,13353,4,1000,1
bucketKNN,19907,8,1000,1
bucketKNN,26775,16,1000,1
bucketKNN,33319,32,1000,1
bucketKNN,40077,64,1000,1
bucketKNN,6355,2,10000,1
bucketKNN,12899,4,10000,1
bucketKNN,19331,8,10000,1
bucketKNN,25907,16,10000,1
bucketKNN,32755,32,10000,1
bucketKNN,39178,64,10000,1
bucketKNN,6317,2,100000,1
bucketKNN,12557,4,100000,1
bucketKNN,18950,8,100000,1
bucketKNN,25128,16,100000,1
bucketKNN,31370,32,100000,1
bucketKNN,37853,64,100000,1
bucketKNN,5176,2,100,2
bucketKNN,10266,4,100,2
bucketKNN,15367,8,100,2
bucketKNN,20288,16,100,2
bucketKNN,25485,32,100,2
bucketKNN,30568,64,100,2
bucketKNN,12630,2,1000,2
bucketKNN,25006,4,1000,2
bucketKNN,37291,8,1000,2
bucketKNN,49952,16,1000,2
bucketKNN,62309,32,1000,2
bucketKNN,74711,64,1000,2
bucketKNN,10209,2,10000,2
bucketKNN,20518,4,10000,2
bucketKNN,31143,8,10000,2
bucketKNN,41296,16,10000,2
